,0
675,3689
676,3695
677,3706
678,3712
679,3713
680,3718
681,3734
682,3735
683,3747
684,3754
685,3757
686,3759
687,3761
688,3763
689,3764
690,3768
691,3773
692,3777
693,3779
694,3790
695,3801
696,3818
697,3823
698,3829
699,3837
700,3847
701,3853
702,3855
703,3860
704,3866
705,3874
706,3878
707,3879
708,3880
709,3892
710,3893
711,3896
712,3899
713,3913
714,3921
715,3923
716,3927
717,3928
718,3946
719,3948
720,3951
721,3953
722,3955
723,3960
724,3968
725,3982
726,3987
727,4012
728,4013
729,4018
730,4046
731,4058
732,4061
733,4064
734,4070
735,4075
736,4079
737,4082
738,4084
739,4088
740,4093
741,4094
742,4109
743,4115
744,4118
745,4125
746,4126
747,4134
748,4137
749,4143
750,4165
751,4181
752,4182
753,4184
754,4196
755,4201
756,4203
757,4204
758,4215
759,4220
760,4236
761,4239
762,4243
763,4246
764,4247
765,4255
766,4263
767,4267
768,4269
769,4284
770,4286
771,4289
772,4290
773,4291
774,4292
775,4299
776,4301
777,4303
778,4307
779,4308
780,4310
781,4312
782,4326
783,4337
784,4344
785,4345
786,4354
787,4357
788,4358
789,4379
790,4384
791,4394
792,4400
793,4423
794,4424
795,4430
796,4435
797,4449
798,4456
799,4458
800,4464
801,4470
802,4493
803,4494
804,4496
805,4514
806,4515
807,4518
808,4527
809,4537
810,4539
811,4540
812,4543
813,4548
814,4551
815,4553
816,4554
817,4557
818,4558
819,4562
820,4566
821,4568
822,4570
823,4571
824,4576
825,4587
826,4591
827,4596
828,4602
829,4605
830,4618
831,4622
832,4623
833,4632
834,4639
835,4642
836,4643
837,4644
838,4645
839,4662
840,4676
841,4677
842,4680
843,4683
844,4686
845,4692
846,4696
847,4701
848,4712
849,4714
850,4715
851,4717
852,4718
853,4719
854,4720
855,4727
856,4733
857,4741
858,4747
859,4751
860,4761
861,4769
862,4771
863,4774
864,4775
865,4788
866,4791
867,4793
868,4804
869,4805
870,4807
871,4811
872,4815
873,4822
874,4823
875,4824
876,4825
877,4834
878,4837
879,4844
880,4846
881,4853
882,4861
883,4867
884,4871
885,4872
886,4883
887,4888
888,4889
889,4890
890,4891
891,4893
892,4919
893,4920
894,4929
895,4941
896,4945
897,4946
898,4951
899,4956
900,4966
901,4979
902,4984
903,4986
904,4991
905,4992
906,5005
907,5007
908,5011
909,5014
910,5015
911,5017
912,5030
913,5033
914,5034
915,5044
916,5049
917,5054
918,5055
919,5057
920,5060
921,5065
922,5070
923,5072
924,5077
925,5078
926,5081
927,5085
928,5087
929,5088
930,5090
931,5094
932,5099
933,5100
934,5102
935,5103
936,5107
937,5110
938,5116
939,5117
940,5123
941,5125
942,5129
943,5140
944,5145
945,5146
946,5157
947,5159
948,5160
949,5165
950,5166
951,5176
952,5178
953,5179
954,5191
955,5198
956,5206
957,5211
958,5212
959,5213
960,5220
961,5229
962,5230
963,5234
964,5235
965,5236
966,5238
967,5250
968,5251
969,5253
970,5259
971,5264
972,5269
973,5271
974,5272
975,5286
976,5295
977,5298
978,5302
979,5306
980,5310
981,5311
982,5314
983,5325
984,5331
985,5333
986,5334
987,5340
988,5344
989,5345
990,5348
991,5352
992,5363
993,5376
994,5379
995,5389
996,5391
997,5400
998,5401
999,5402
1000,5411
1001,5412
1002,5417
1003,5425
1004,5437
1005,5438
1006,5440
1007,5442
1008,5446
1009,5449
1010,5458
1011,5462
1012,5472
1013,5473
1014,5474
1015,5475
1016,5476
1017,5480
1018,5481
1019,5492
1020,5502
1021,5503
1022,5505
1023,5508
1024,5509
1025,5511
1026,5514
1027,5528
1028,5530
1029,5532
1030,5536
1031,5539
1032,5552
1033,5553
1034,5558
1035,5561
1036,5571
